Temperature - (Celsius), Year, Statistics, Country, ISO3
25.8391, 1938, Oct Average, Indonesia, IDN
26.0599, 1938, Nov Average, Indonesia, IDN
25.8047, 1938, Dec Average, Indonesia, IDN
25.8775, 1939, Jan Average, Indonesia, IDN
25.678, 1939, Feb Average, Indonesia, IDN
25.6532, 1939, Mar Average, Indonesia, IDN
25.9274, 1939, Apr Average, Indonesia, IDN
25.6638, 1939, May Average, Indonesia, IDN
25.1872, 1939, Jun Average, Indonesia, IDN
25.5135, 1939, Jul Average, Indonesia, IDN
25.3937, 1939, Aug Average, Indonesia, IDN
25.4204, 1939, Sep Average, Indonesia, IDN
25.6348, 1939, Oct Average, Indonesia, IDN
26.2135, 1939, Nov Average, Indonesia, IDN
25.8745, 1939, Dec Average, Indonesia, IDN
25.6007, 1940, Jan Average, Indonesia, IDN
25.419, 1940, Feb Average, Indonesia, IDN
25.7138, 1940, Mar Average, Indonesia, IDN
25.902, 1940, Apr Average, Indonesia, IDN
25.627, 1940, May Average, Indonesia, IDN
25.5354, 1940, Jun Average, Indonesia, IDN
25.4624, 1940, Jul Average, Indonesia, IDN
25.1067, 1940, Aug Average, Indonesia, IDN
25.6809, 1940, Sep Average, Indonesia, IDN
26.078, 1940, Oct Average, Indonesia, IDN
26.33, 1940, Nov Average, Indonesia, IDN
26.1901, 1940, Dec Average, Indonesia, IDN
26.1572, 1941, Jan Average, Indonesia, IDN
26.1082, 1941, Feb Average, Indonesia, IDN
26.3677, 1941, Mar Average, Indonesia, IDN
26.4958, 1941, Apr Average, Indonesia, IDN
26.5075, 1941, May Average, Indonesia, IDN
25.9995, 1941, Jun Average, Indonesia, IDN
25.2528, 1941, Jul Average, Indonesia, IDN
25.2857, 1941, Aug Average, Indonesia, IDN
25.6073, 1941, Sep Average, Indonesia, IDN
26.2789, 1941, Oct Average, Indonesia, IDN
26.152, 1941, Nov Average, Indonesia, IDN
26.0254, 1941, Dec Average, Indonesia, IDN
25.9971, 1942, Jan Average, Indonesia, IDN
26.0169, 1942, Feb Average, Indonesia, IDN
26.2416, 1942, Mar Average, Indonesia, IDN
26.0744, 1942, Apr Average, Indonesia, IDN
